PCID,SMILES,Avg_T_half,Sem_T_half,Norm_T_half,Norm_Sem_T_half,Feature,Docking,Close,Loose
91832951,CC(C)(O)c1cncc(c1)-c1cccc(c1)C(=O)N1CCOCC1,15.91666667,0.083333333,1.02688172,0.00892777,"[-2.2992613315582275, -2.120241403579712, 2.593156099319458, -0.15957073867321014, -0.8395711779594421, 0.7520427703857422, -0.9032310247421265, -0.9396750926971436, -2.4287822246551514, -0.7622085809707642, -3.6826324462890625, 0.26277956366539, 0.8929030299186707, 1.0127191543579102, 0.30881059169769287, -3.9925637245178223, -1.583580493927002, 1.0540492534637451, -0.38510164618492126, -2.9930098056793213, 0.7226224541664124, 2.6223673820495605, 2.2873849868774414, 0.5486007928848267, 1.4349501132965088, -0.9969872236251831, -2.4799604415893555, -0.18994754552841187, -0.2315569519996643, -0.7495325207710266, 0.26734456419944763, 1.1140475273132324, 0.044623855501413345, 0.2633720338344574, -0.4085111618041992, 1.0642274618148804, -0.1810644119977951, -0.5233051180839539, 0.2954285740852356, -0.3937956988811493, -0.39050859212875366, 0.26560744643211365, 0.1553705781698227, 0.1934482753276825, -0.4348828196525574, 0.2924002408981323, -0.47354617714881897, -0.047036103904247284, -0.25690630078315735, 0.12397903203964233, 0.07151870429515839, 0.2564179003238678, -0.8392073512077332, 0.0048547908663749695, -0.21218644082546234, -0.5630747079849243]",1,0,0
56745125,NC(=O)CN1CCc2[nH]nc(c2C1)-c1ccc(cc1)-c1ccccc1,16.08333333,0.083333333,1.037634409,0.008987465,"[-1.9119019508361816, -1.5548704862594604, 0.7191628813743591, -3.56905460357666, -3.146575450897217, -3.5279743671417236, 2.3276450634002686, 1.5379517078399658, -1.6536026000976562, -2.0905826091766357, 0.34295302629470825, 0.8890116810798645, -0.5767773985862732, -0.07542093098163605, 1.9508017301559448, -1.8277767896652222, -1.7127034664154053, 1.5362449884414673, -0.9095304608345032, 0.8213653564453125, 2.318533182144165, 0.5687946081161499, -1.6377625465393066, 1.17025887966156, 0.2601359784603119, 2.0496671199798584, -0.6066433787345886, -3.46474552154541, 0.2815522849559784, 0.04235399514436722, 0.5178910493850708, 0.06665055453777313, 0.31177687644958496, -0.5889090299606323, 0.16347168385982513, 0.24003392457962036, 0.3985162377357483, -0.3387599289417267, 0.23807448148727417, -0.527955949306488, 0.3667212724685669, 0.3954963684082031, -0.21913564205169678, 0.9890679121017456, 0.07906625419855118, -0.15823276340961456, 0.6667482256889343, -0.021128369495272636, -0.4696691930294037, -0.4626154899597168, -0.3377189040184021, -0.1714249700307846, 0.14571192860603333, 0.1215842142701149, 0.27357742190361023, -0.060985028743743896]",1,0,0
119105862,Cc1nc2ccccn2c1C(=O)NCc1nccnc1-c1ccco1,21.58333333,0.083333333,1.392473118,0.011059645,"[0.09619421511888504, 1.6445574760437012, -0.2826244831085205, 1.621065378189087, 2.7209839820861816, -2.345094919204712, -0.33165213465690613, 0.31084707379341125, -0.343189537525177, -0.9377174377441406, 0.7026119828224182, 0.5692663788795471, 0.47276490926742554, -0.29036885499954224, 0.7981588244438171, -2.892273426055908, -1.055222749710083, -0.5057114958763123, -0.37266048789024353, -1.149342656135559, -3.832836389541626, -1.049009084701538, 0.9159299731254578, -1.6003077030181885, 1.8510417938232422, 0.2286672741174698, -1.3759379386901855, -0.6529418230056763, 0.27041202783584595, -0.32772716879844666, 0.7019520998001099, 0.18254737555980682, -0.16912874579429626, -0.889274001121521, 0.2279917299747467, 0.039449699223041534, 0.23475323617458344, 0.2860009968280792, -0.43627047538757324, 0.29511401057243347, -0.4986121654510498, 0.43729010224342346, -0.4651349186897278, 0.03546552360057831, 0.11762280017137527, -1.2606046199798584, 0.39387398958206177, 0.07841789722442627, -0.1846502125263214, 0.24722903966903687, 0.10238905251026154, -0.17488336563110352, -0.031663089990615845, -0.5057514905929565, -0.16656412184238434, 0.569156289100647]",1,0,0
70744491,CC1CN(C(=O)CN1C(=O)c1cnc[nH]c1=O)c1ccc(C)cc1,15.58333333,0.25,1.005376344,0.01757385,"[-2.9584124088287354, -2.895331859588623, -2.3784923553466797, 1.7312663793563843, 2.409576177597046, -2.125652313232422, -0.5740960836410522, 3.1949594020843506, 0.6865765452384949, 3.122676372528076, 1.5519425868988037, 0.8865624070167542, 1.9723403453826904, 1.880041241645813, 1.518190860748291, 1.3541419506072998, 0.8902897834777832, -1.5539665222167969, 1.1830018758773804, -1.8929351568222046, -1.5475739240646362, -0.6416719555854797, 0.4843597114086151, 1.8591258525848389, 0.7757951021194458, 1.926419734954834, -0.3823721706867218, 0.4474480450153351, 0.041281405836343765, 0.05284880846738815, 0.44683346152305603, 0.12296539545059204, 1.1017323732376099, -0.11303290724754333, -0.09535501897335052, 0.5549765825271606, 0.2821228504180908, -0.46795591711997986, -0.11485598981380463, -0.013443924486637115, 0.1161169558763504, 0.3975316882133484, -0.441761314868927, 0.5184765458106995, -0.18896245956420898, -0.4961284101009369, -0.2181892693042755, 0.2495778650045395, -0.10070666670799255, -0.43274614214897156, -0.0965820699930191, -0.12090815603733063, -0.16563661396503448, 0.06670302897691727, -0.3623274862766266, -0.47540828585624695]",1,0,0
17149202,Cc1ccc(NC(=O)N2CCN(Cc3cccnc3)CC2)cc1F,15.41666667,0.25,0.994623656,0.017544349,"[-1.655800223350525, -1.1739234924316406, 0.08282673358917236, -0.3088001012802124, -0.3019752502441406, -1.620316982269287, -0.29233190417289734, 2.2156031131744385, 0.36378639936447144, 1.2988499402999878, 0.9014976024627686, -3.5733351707458496, -1.3619191646575928, 2.6312527656555176, -0.9481106400489807, -0.46180516481399536, 1.8792117834091187, -2.6831860542297363, 2.0774147510528564, -1.108244776725769, -0.11249051243066788, -0.8788115382194519, -1.616650938987732, -2.1779932975769043, 0.3900531530380249, -1.0443209409713745, 0.03546002134680748, 1.9655051231384277, -0.3517456352710724, -0.6591856479644775, -0.10718530416488647, -0.07259795069694519, 0.06118268147110939, 0.04485132172703743, 0.12662853300571442, 0.3590131103992462, -0.03271809220314026, -0.36281663179397583, -0.16373173892498016, -0.4401174485683441, -0.09177397191524506, -0.14839394390583038, -0.6091845631599426, 0.5283967852592468, -0.10040659457445145, -0.11223407089710236, -0.3614902198314667, 0.5317248106002808, -0.9840630888938904, 0.004903443157672882, 0.06319630146026611, 0.2196391522884369, 0.10512920469045639, 0.6704900860786438, -0.3054948151111603, 0.0330149382352829]",1,0,0
122134858,Cc1nc2CC(CCc2[nH]1)C(=O)N1CCOC2(CCCCC2)C1,16.41666667,0.25,1,0.035846382,"[-0.14345794916152954, 1.0907671451568604, 0.7261225581169128, 3.3092968463897705, 1.8587467670440674, -0.501427412033081, 2.523885488510132, 1.1163054704666138, 1.6722722053527832, 0.40845632553100586, -1.020998477935791, 1.200007677078247, 1.888734221458435, -0.559455156326294, 2.1344387531280518, -3.4810705184936523, -0.5162981152534485, -0.6048654913902283, -2.725193738937378, 0.41259369254112244, -1.0442078113555908, -2.2855353355407715, 0.28869691491127014, 0.7073940634727478, 0.7209339141845703, 0.033096425235271454, -0.06274601817131042, -1.3864386081695557, 0.3938291370868683, -0.5570375323295593, 0.23566876351833344, 0.3663693070411682, 0.4014626741409302, -0.29924917221069336, 0.23712550103664398, 0.6178237199783325, 0.42650336027145386, 0.45384690165519714, -0.6198440790176392, 0.19003868103027344, 0.1010688841342926, 0.7027125358581543, -0.378966748714447, -0.023958906531333923, -0.3057309687137604, -0.1228538453578949, 0.46171313524246216, -0.1483960598707199, -0.5372547507286072, -0.26455825567245483, -0.0010030418634414673, -0.45064082741737366, -0.15965715050697327, -0.04812442511320114, 0.6845408082008362, 0.3314148485660553]",1,0,0
118780508,CCc1nccn1CC(=O)N1CC[C@@H]2OCc3cnnn3[C@H]2C1 |r|,16.58333333,0.083333333,1.010152284,0.033171008,"[-0.7288143038749695, 1.052507758140564, 2.809499502182007, 0.7902127504348755, 3.4690496921539307, -1.8110839128494263, 2.198930501937866, 0.5844693779945374, 0.4512956738471985, -0.43026989698410034, 2.9115471839904785, -1.8968418836593628, 0.52218097448349, 0.23164403438568115, -1.1975303888320923, -3.480030059814453, -0.7087306976318359, -0.8335742950439453, -3.2016844749450684, -3.9276325702667236, -3.287964105606079, -1.9843578338623047, -1.5790258646011353, -0.2773633301258087, 1.7918531894683838, 1.6980342864990234, 0.6359809637069702, 0.678118884563446, 0.9529901742935181, -0.5612228512763977, 0.5092599391937256, 0.2969311773777008, -4.952400207519531, -0.48925068974494934, 0.09545968472957611, -0.20630446076393127, 0.03242012485861778, 0.051076941192150116, -0.30558279156684875, -0.14721816778182983, -0.13855072855949402, 0.20676696300506592, -0.5568898320198059, 0.2790975570678711, -0.15179306268692017, -0.42294955253601074, 0.29849913716316223, 0.25077760219573975, -0.21768933534622192, -0.19231446087360382, -0.23169665038585663, -1.0932782888412476, 0.05871712416410446, 0.08818109333515167, 0.029667500406503677, -0.021834999322891235]",1,0,0
91841167,O=C(N1CCN(CC1)C(=O)c1scc2CCCCc12)c1nc[nH]n1,16.91666667,0.083333333,1.030456853,0.033822298,"[-4.132797718048096, 1.4899038076400757, -1.9521830081939697, 0.9759564995765686, 0.2762978971004486, 1.3118135929107666, 2.7698235511779785, 1.7234926223754883, -0.7573895454406738, 1.7834552526474, 0.9006475210189819, 0.7823552489280701, 2.218311071395874, 2.0054266452789307, 3.653505563735962, -1.3839735984802246, 1.5392200946807861, 0.07884248346090317, -1.076270580291748, 0.3606288731098175, -1.02065110206604, 0.12621256709098816, -2.2944979667663574, 0.833737850189209, -1.2535136938095093, 0.6170477271080017, -1.2632091045379639, -0.10850033164024353, 0.12348227202892303, 0.2287367880344391, 0.6193006038665771, 0.312796950340271, -0.3002464771270752, 0.26767370104789734, 0.09385257214307785, 0.17038536071777344, -0.2795918583869934, -0.2991675138473511, -0.15662775933742523, -0.5901374220848083, 0.6359027624130249, 0.16636836528778076, 0.20164655148983002, 0.01871378719806671, 0.16145780682563782, -0.5259493589401245, -0.050648294389247894, -0.029113849624991417, 0.21587872505187988, 0.8837293386459351, 0.14831051230430603, 0.08804699033498764, -0.18578433990478516, 0.07852306216955185, 0.1241934597492218, 0.13533136248588562]",1,0,0
91833163,Cc1cc(=O)n(CCN2CCOC(C2)c2ccccc2)c(=O)[nH]1,17.08333333,0.083333333,1.040609137,0.034148052,"[-0.8822624087333679, -2.781116485595703, -1.2653162479400635, -0.1843029111623764, 0.31473028659820557, -1.7009475231170654, 0.8835210800170898, 1.4117696285247803, 1.3391094207763672, 0.40730732679367065, 5.084943771362305, -1.07663094997406, 0.25007927417755127, 0.6606736779212952, 1.1771430969238281, 0.8113625645637512, -2.0392518043518066, 0.9908494353294373, 0.16184738278388977, 0.4807094931602478, -0.4703719913959503, -1.769647479057312, 1.6648050546646118, 1.403721809387207, -2.1946637630462646, 1.0895378589630127, -2.669179916381836, -2.346081018447876, 0.5112804174423218, -0.27315810322761536, 0.3290714621543884, -0.024452881887555122, -0.34009885787963867, -0.29217904806137085, 0.3050042390823364, 0.6124536991119385, 0.3312297463417053, 0.14687058329582214, -0.4133481979370117, 0.17031386494636536, 0.04719294235110283, 0.4874100089073181, -0.1278775930404663, 0.2249782830476761, 0.25188684463500977, -0.12197858095169067, 0.4275941252708435, 0.03695207089185715, -0.2241767942905426, 0.09566861391067505, 0.22602926194667816, -0.5017844438552856, -0.26694416999816895, -0.09479355067014694, -0.021970119327306747, 0.44266918301582336]",1,0,0
74242444,CN(C1CCCc2ccccc12)C(=O)c1ccn2cnnc2c1,16.75,0.25,1.020304569,0.036443943,"[-1.0190093517303467, 0.9080653190612793, -2.9874119758605957, 0.03962339460849762, 0.25846928358078003, -1.389220118522644, 0.4527197778224945, 3.1432056427001953, 1.2652039527893066, 0.181945338845253, -0.9824919104576111, -1.4870637655258179, 1.9222099781036377, -0.3352241814136505, 3.211038112640381, -0.9020642638206482, 0.6893110275268555, 1.8515498638153076, -2.204206705093384, 1.7243891954421997, 1.3910260200500488, -0.08329197764396667, -3.217379093170166, 1.8758819103240967, 0.3918880522251129, -0.384733647108078, 0.8724172115325928, -1.0804091691970825, 0.21648310124874115, -0.7165826559066772, -0.20135873556137085, -0.2376115769147873, 0.0007281936705112457, -0.34707406163215637, 0.4821864366531372, 0.1669207513332367, 0.03830403462052345, -0.2213159203529358, -0.327475368976593, -0.6414663195610046, 0.8385189175605774, 0.5799240469932556, 0.03380925953388214, 0.1565031260251999, 0.19812998175621033, 0.010800570249557495, 0.2875611186027527, 0.31944867968559265, -0.39448246359825134, 0.13838927447795868, 0.25580108165740967, -0.2972550392150879, -0.173199862241745, -0.5040549039840698, -0.2888962924480438, 0.46655622124671936]",1,0,0
